SLNo,BHK_Type,Property_Name,Property_Type,Beds,Bathroom,Balcony,Address,City,State_code,Country,Landmarks
1,2,2BHK Builder Floor Apartment for New Property in Uttam Nagar,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near metro station. 5 min walking distance from metro station.
2,3,"3BHK Builder Floor Apartment for New Property in Hemkunt Colony, Greater Kailash",Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Nearest Pamposh Enclave.
3,3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at New Moti Nagar, Kirti Nagar",Apartment,3,3,4,"New Delhi, Delhi N",New Delhi,Delhi N,India,3BHK with 3bathrooms apartment is available in DLF capital greens Moti
4,2,2BHK Builder Floor Apartment for New Property in Dwarka Mor,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Uttam nagar westpillar no 707ram nagar road
5,3,3BHK Builder Floor Apartment for Resale in Anand Vihar,Builder Floor Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Anand Vihar Metro Station
6,3,3BHK Multistorey Apartment for Resale in Risland Sky Mansion at Chattarpur,Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,"MehrauliGurugram road, Ambience Mall, IGI airport"
7,3,3BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,rohini sec 3
8,3,3BHK Multistorey Apartment for Resale in IFS Apartments at Mayur Vihar 1,Apartment,3,3,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Mool Chand
9,2,2BHK Multistorey Apartment for Resale in Saket,Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,IGNOU road
10,4,4BHK Multistorey Apartment for Resale in Guru Apartment at Sector 6 Dwarka,Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,sports complex
11,3,3BHK Builder Floor Apartment for New Property in Safdarjung Enclave,Builder Floor Apartment,3,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near all amenities
12,3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,3,2,4,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near CTC Mall
13,3,"3BHK Builder Floor Apartment for Resale in Kishangarh, Vasant Kunj",Builder Floor Apartment,3,3,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Near car market, esi dispensary."
14,1,1BHK Multistorey Apartment for Resale in Ganesh Nagar 1,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Akshardham Metro Station
15,2,"2BHK Builder Floor Apartment for New Property in Om Vihar, Nawada",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Shiv Dairy
16,2,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dada Dev Mandir
17,2,2BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Kali Bari Mandir
18,2,"2BHK Builder Floor Apartment for Resale in Sherpur, Mustafabad",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,adarsh lakhapat School
19,1,"1BHK Builder Floor Apartment for Resale in Bhagwati Vihar, Uttam Nagar",Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Bhagawati Vihar Chowk
20,1,1BHK Builder Floor Apartment for Resale in Shahdara,Builder Floor Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Teliwara gurudwara Shahdara
21,2,2BHK Builder Floor Apartment for Resale in Main Rajapuri Road,Builder Floor Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Bansal medicos
22,4,"4BHK Multistorey Apartment for Resale in Sukhdev Vihar, Okhla",Apartment,4,4,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Fortis Escort Hospital
23,3,3BHK Multistorey Apartment for Resale in RWA Block C2 Janakpuri at Janakpuri,Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Dabri mor
24,2,2BHK Multistorey Apartment for Resale in Matiala Extension,Apartment,2,2,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Tiranga Chauk
25,2,2BHK Multistorey Apartment for Resale in Archana Apartment at Paschim Vihar,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Nearby Peera Garhi Chowk and A1 Lal Market
26,2,"2BHK Builder Floor Apartment for Resale in Anarkali Colony, Krishna Nagar",Builder Floor Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Near Kabilla chowk
27,2,2BHK Multistorey Apartment for Resale in Uttari Pitampura,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,keshav mahavidyalaya
28,2,2BHK Multistorey Apartment for Resale in Block D Saket,Apartment,2,1,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Anupam pvr
29,2,"2BHK Builder Floor Apartment for Resale in Jangpura Extension, Jangpura",Builder Floor Apartment,2,2,2,"New Delhi, Delhi N",New Delhi,Delhi N,India,Eros Cinema
30,3,3BHK Multistorey Apartment for Resale in Vikassheel Apartment at Sector 13 Rohini,Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,North Ex mall
31,1,1BHK Builder Floor Apartment for Resale in Malviya Nagar,Builder Floor Apartment,1,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
32,2,2BHK Multistorey Apartment for Resale in Everest Apartment at Kalkaji,Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sri satya sai vidya vihar school
33,1,1BHK Multistorey Apartment for Resale in Sector 34 Rohini,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
34,2,2BHK Multistorey Apartment for Resale in Project Amar Colony at Lajpat Nagar,Apartment,2,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Tagore international school
35,4,4BHK Builder Floor Apartment for Resale in Deep Vihar Rohini,Builder Floor Apartment,4,3,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Adarsh hospital
36,3,3BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Uttam Nagar West metro station
37,1,1BHK Multistorey Apartment for Resale in Kondli,Apartment,1,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Near Hanuman Mandir, Dairy farm"
38,2,2BHK Builder Floor Apartment for Resale in Narayan Nagar,Builder Floor Apartment,2,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,"Laxmi Nagar,Near Lalita Park"
39,3,3BHK Multistorey Apartment for New Property in ,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Mata Bhatee Devi Public School
40,2,2BHK Multistorey Apartment for Resale in Chattarpur,Apartment,2,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,chattarpur temple
41,2,"2BHK Builder Floor Apartment for Resale in Khanpur, Madangir",Builder Floor Apartment,2,2,,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
42,2,2BHK Builder Floor Apartment for Resale in Ghitorni,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Ojo life kitchen
43,2,2BHK Builder Floor Apartment for New Property in Raja Puri Matiala,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Police Buth
44,3,3BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Rajmandir Store
45,2,2BHK Multistorey Apartment for Resale in Pul Pehlad Pur,Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Honda Bike Showroom
46,2,"2BHK Builder Floor Apartment for Resale in Chawri Bazar, Chandni Chowk",Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,chawri bazar metro station
47,2,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,2,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dada Dev Mandir
48,2,2BHK Multistorey Apartment for Resale in Dilshad Garden,Apartment,2,1,2,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Dilshad Garden Metro
49,2,2BHK Multistorey Apartment for New Property in Nilothi,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Daler mehndi farmhouse
50,3,"3BHK Builder Floor Apartment for Resale in Hudson Lane, GTB Nagar",Builder Floor Apartment,3,3,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,100m Away from GTB Nagar Metro StationNear to Little Fairy School
51,4,"4BHK Multistorey Apartment for Resale in Mahendru Enclave at Gujranwala Town, Model Town",Apartment,4,3,3,"New Delhi, Delhi N",New Delhi,Delhi N,India,Near chatrasaal stadium
52,2,2BHK Multistorey Apartment for Resale in Dilshad Colony,Apartment,2,1,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,St Andrews Public School
53,3,3BHK Multistorey Apartment for Resale in Uttam Nagar Floors at Uttam Nagar,Apartment,3,2,1,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,Sunil Dairy
54,3,3BHK Builder Floor Apartment for Resale in Sector 24 Rohini,Builder Floor Apartment,3,2,1,"New Delhi, Delhi N",New Delhi,Delhi N,India,Delhi public school
55,3,"3BHK Builder Floor Apartment for Resale in Sadh Nagar, Palam",Builder Floor Apartment,3,2,3,"New Delhi, Delhi NCR",New Delhi,Delhi NCR,India,
