SLNo,Carpet_area,Status,Floor,Transaction_type,Year_Built,Price_per_square_feet
1,550,Ready to Move,4,New Property,2011,4167
2,1300,Ready to Move,4,New Property,2010,25309
3,1490,Ready to Move,26,Resale,2014,17738
4,600,Ready to Move,4,New Property,2007,4308
5,1200,Ready to Move,4,Resale,2010,16667
6,2310,Ready to Move,22,Resale,2019,17424
7,96,Ready to Move,4,Resale,,18870
8,1400,Ready to Move,7,Resale,1999,16667
9,,Ready to Move,4,Resale,2000,5000
10,2200,Ready to Move,7,Resale,2000,13265
11,,Ready to Move,5,New Property,2000,33333
12,1150,Ready to Move,26,Resale,2010,20000
13,1300,Ready to Move,5,Resale,2000,6667
14,550,Ready to Move,4,Resale,,7500
15,500,Ready to Move,3,New Property,,4486
16,660,Ready to Move,4,Resale,,6747
17,95,Ready to Move,4,Resale,,4630
18,540,Ready to Move,4,Resale,,4464
19,450,Ready to Move,3,Resale,,4516
20,400,Ready to Move,4,Resale,,3778
21,450,Ready to Move,4,Resale,,3838
22,2000,Ready to Move,4,Resale,,12585
23,,Ready to Move,3,Resale,,15000
24,580,Ready to Move,4,Resale,,5000
25,70,Ready to Move,4,Resale,,13492
26,669,Ready to Move,4,Resale,,5714
27,650,Ready to Move,4,Resale,,9600
28,1075,Ready to Move,3,Resale,,26087
29,892,Ready to Move,3,Resale,,14500
30,1150,Ready to Move,4,Resale,,13600
31,401,Ready to Move,4,Resale,,5000
32,600,Ready to Move,3,Resale,,11077
33,280,Ready to Move,4,Resale,,3808
34,,Ready to Move,3,Resale,,14455
35,1200,Ready to Move,4,Resale,,6800
36,90,Ready to Move,4,Resale,,3722
37,355,Ready to Move,5,Resale,,7692
38,1200,Ready to Move,4,Resale,,3520
39,900,Ready to Move,4,New Property,,5238
40,675,Ready to Move,4,Resale,,3857
41,,Ready to Move,5,Resale,,3731
42,900,Ready to Move,4,Resale,,3000
43,430,Ready to Move,4,New Property,,6556
44,90,Ready to Move,5,Resale,,8333
45,668,Ready to Move,3,Resale,,3038
46,859,Ready to Move,4,Resale,,4444
47,620,Ready to Move,4,Resale,,4846
48,750,Ready to Move,4,Resale,,11875
49,460,Ready to Move,4,New Property,,4218
50,1400,Ready to Move,4,Resale,,18056
51,1170,Ready to Move,4,Resale,,
52,1000,Ready to Move,3,Resale,,4261
53,675,Ready to Move,4,Resale,,5556
54,900,Ready to Move,4,Resale,,10526
55,900,Ready to Move,4,Resale,,5727
56,500,Ready to Move,3,Resale,,4630
57,550,Ready to Move,,Resale,,6050
58,,Ready to Move,3,Resale,,6042
59,1200,Ready to Move,2,Resale,,20833
60,55,Ready to Move,4,Resale,,6481
61,400,Ready to Move,4,Resale,,5679
62,1650,Ready to Move,4,Resale,,8889
63,500,Ready to Move,2,Resale,,4545
64,1300,Ready to Move,8,New Property,,19697
65,125,Ready to Move,2,Resale,,13333
66,,Ready to Move,2,Resale,,24000
67,850,Ready to Move,4,Resale,,5556
68,630,Ready to Move,4,Resale,,5079
69,1550,Ready to Move,17,Resale,,16364
70,800,Ready to Move,4,New Property,,4444
71,950,Ready to Move,3,Resale,,13182
72,66,Ready to Move,4,Resale,,10943
73,700,Ready to Move,3,Resale,,13194
74,100,Ready to Move,4,Resale,,6566
75,975,Ready to Move,4,Resale,,22000
76,900,Ready to Move,4,Resale,,11650
77,650,Ready to Move,4,Resale,,5714
78,580,Ready to Move,4,Resale,,5068
79,,Ready to Move,4,Resale,,4054
80,446,Ready to Move,4,Resale,,3000
81,713,Ready to Move,4,Resale,,3778
82,600,Ready to Move,3,Resale,,4762
83,,Ready to Move,3,Resale,,15909
84,1586,Ready to Move,17,Resale,,26482
85,18,Ready to Move,1,Resale,,20644
86,600,Ready to Move,4,Resale,,12308
87,,Ready to Move,4,Resale,,8361
88,800,Ready to Move,4,Resale,,
89,675,Ready to Move,4,Resale,,
90,650,Ready to Move,3,Resale,,11704
91,95,Ready to Move,4,Resale,,4222
92,900,Ready to Move,4,Resale,,
93,1200,Ready to Move,3,Resale,,23846
94,1000,Ready to Move,3,Resale,,10909
95,70,Ready to Move,3,Resale,,4444
96,2250,Ready to Move,4,New Property,,21154
97,1000,Ready to Move,4,Resale,,4545
98,1300,Ready to Move,4,Resale,,7036
99,2300,Ready to Move,4,Resale,,25000
100,450,Ready to Move,4,Resale,,3077
101,600,Ready to Move,3,Resale,,8462
102,900,Ready to Move,4,New Property,,4620
103,500,Ready to Move,2,Resale,,6000
104,,Ready to Move,4,Resale,,22222
105,852,Ready to Move,13,Resale,,21565
106,,Ready to Move,4,Resale,,6838
107,,Ready to Move,4,Resale,,3000
108,900,Ready to Move,4,Resale,,17500
109,650,Ready to Move,4,Resale,,4000
110,450,Ready to Move,5,Resale,,8800
111,1100,Ready to Move,4,Resale,,11667
112,80,Ready to Move,4,Resale,,
113,892,Ready to Move,4,Resale,,5800
114,,Ready to Move,3,Resale,,4630
115,2272,Ready to Move,4,Resale,,27723
116,1080,Ready to Move,4,Resale,,5556
117,,Ready to Move,4,Resale,,18611
118,825,Ready to Move,4,Resale,,7667
119,200,Ready to Move,1,Resale,,15000
120,2200,Ready to Move,4,Resale,,8400
121,100,Ready to Move,4,Resale,,4915
122,1125,Ready to Move,4,Resale,,7500
123,2700,Ready to Move,4,New Property,,22222
124,1500,Ready to Move,4,Resale,,23235
125,1220,Ready to Move,4,Resale,,23077
126,1460,Ready to Move,4,New Property,,19444
127,90,Ready to Move,4,Resale,,12778
128,1700,Ready to Move,8,Resale,,
129,,Ready to Move,4,Resale,,4630
130,2268,Ready to Move,3,Resale,,
131,2700,Ready to Move,3,Resale,,10176
132,900,Ready to Move,4,Resale,,7000
133,430,Ready to Move,3,Resale,,15556
134,450,Ready to Move,4,Resale,,5556
135,1150,Ready to Move,4,Resale,,11561
136,900,Ready to Move,4,Resale,,5000
137,2150,Ready to Move,4,Resale,,16809
138,110,Ready to Move,3,Resale,,5370
139,110,Ready to Move,4,Resale,,7870
140,792,Ready to Move,4,Resale,,12381
141,170,Ready to Move,4,Resale,,8824
142,1300,Ready to Move,5,Resale,,16786
143,,Ready to Move,4,Resale,,6125
144,1230,Ready to Move,4,Resale,,9926
145,1900,Ready to Move,3,Resale,,13750
146,1350,Ready to Move,4,Resale,,12759
147,900,Ready to Move,4,Resale,,5684
148,750,Ready to Move,5,Resale,,5625
149,900,Ready to Move,3,Resale,,11368
150,2000,Ready to Move,4,Resale,,6250
151,,Ready to Move,5,Resale,,3636
152,120,Ready to Move,4,Resale,,6496
153,55,Ready to Move,4,Resale,,3448
154,860,Ready to Move,4,Resale,,6889
155,580,Ready to Move,4,Resale,,5333
156,1245,Ready to Move,2,Resale,,26022
157,56,Ready to Move,5,Resale,,6481
158,1160,Ready to Move,4,Resale,,4500
159,400,Ready to Move,3,Resale,,5800
160,560,Ready to Move,3,Resale,,10619
161,900,Ready to Move,3,Resale,,8723
162,,Ready to Move,5,Resale,,11111
163,58,Ready to Move,5,Resale,,3077
164,,Ready to Move,4,Resale,,10000
165,440,Ready to Move,4,New Property,,5111
166,1250,Ready to Move,3,Resale,,18519
167,1200,Ready to Move,3,Resale,,10385
168,850,Ready to Move,4,Resale,,6444
169,600,Ready to Move,4,Resale,,4923
170,300,Ready to Move,3,Resale,,
171,150,Ready to Move,2,Resale,,12500
172,2700,Ready to Move,4,New Property,,40476
173,675,Ready to Move,4,Resale,,10000
174,2100,Ready to Move,3,Resale,,11136
175,2400,Ready to Move,4,Resale,,22000
176,1100,Ready to Move,4,Resale,,9000
177,1200,Ready to Move,4,Resale,,
178,1011,Ready to Move,4,Resale,,14625
179,450,Ready to Move,4,Resale,,7000
180,,Ready to Move,5,Resale,,3873
181,1050,Ready to Move,3,Resale,,6545
182,420,Ready to Move,3,Resale,,3111
183,,Ready to Move,4,Resale,,30303
184,1500,Ready to Move,10,Resale,,14545
185,1200,Ready to Move,7,Resale,,10769
186,1150,Ready to Move,3,Resale,,18400
187,1337,Ready to Move,4,Resale,,8571
188,2000,Ready to Move,3,Resale,,
189,1300,Ready to Move,3,Resale,,5786
190,2300,Ready to Move,3,Resale,,8333
191,900,Ready to Move,4,Resale,,6500
192,1000,Ready to Move,3,Resale,,14857
193,,Ready to Move,4,Resale,,4200
194,2500,Ready to Move,4,Resale,,26923
195,,Ready to Move,4,Resale,,19444
196,1800,Ready to Move,4,Resale,,22222
197,1350,Ready to Move,6,Resale,,11379
198,,Ready to Move,4,Resale,,4250
199,1050,Ready to Move,4,Resale,,7863
200,1350,Ready to Move,4,Resale,,13889
201,45,Ready to Move,4,New Property,,3556
202,700,Ready to Move,4,New Property,,13889
203,900,Ready to Move,4,Resale,,18889
204,1000,Ready to Move,2,New Property,,11527
205,,Ready to Move,5,Resale,,5764
206,800,Ready to Move,3,Resale,,9552
207,650,Ready to Move,4,New Property,,5500
208,891,Ready to Move,5,Resale,,
209,1000,Ready to Move,2,Resale,,20833
210,900,Ready to Move,4,Resale,,6000
211,,Ready to Move,4,Resale,,7667
212,600,Ready to Move,4,Resale,,4571
213,1500,Ready to Move,3,Resale,,12231
214,2375,Ready to Move,4,Resale,,18750
215,750,Ready to Move,4,Resale,,6763
216,650,Ready to Move,3,Resale,,5267
217,850,Ready to Move,4,Resale,,6556
218,1000,Ready to Move,3,Resale,,7273
219,2300,Ready to Move,2,Resale,,21522
220,1200,Ready to Move,3,Resale,,10000
221,620,Ready to Move,4,Resale,,4769
222,1000,Ready to Move,4,Resale,,7778
223,200,Ready to Move,5,Resale,,12963
224,1230,Ready to Move,3,Resale,,7895
225,200,Ready to Move,4,Resale,,13691
