SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
1,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,11000,2500000
2,Semi-Furnished,East,"2 Covered, 1 Open",Freehold,500000,41000000
3,Semi-Furnished,North,1 Covered,Freehold,2980000,29800000
4,Semi-Furnished,South - East,1 Covered,Freehold,11000,2800000
5,Semi-Furnished,North - East,2 Covered,Freehold,1000000,27000000
6,Furnished,North - East,2 Covered,Freehold,5750000,57500000
7,Semi-Furnished,North - East,1 Covered,Freehold,1950000,19500000
8,Unfurnished,East,,,2500000,25000000
9,Unfurnished,North - East,,Freehold,200000,4500000
10,Semi-Furnished,North - East,"2 Covered, 1 Open",Freehold,1000000,32500000
11,Semi-Furnished,South -West,2 Covered,Freehold,5000000,60000000
12,Furnished,North - East,1 Covered,Freehold,1000000,31000000
13,Semi-Furnished,West,1 Covered,Freehold,500000,9000000
14,Unfurnished,East,,Power Of Attorney,100000,4500000
15,Unfurnished,East,,Freehold,0,2400000
16,Semi-Furnished,West,1 Covered,Freehold,500000,4500000
17,Unfurnished,North,1 Covered,Freehold,0,4500000
18,Semi-Furnished,East,1 Open,Freehold,100000,2500000
19,Unfurnished,East,,Freehold,300000,2100000
20,Semi-Furnished,North - East,,Freehold,100000,1700000
21,Semi-Furnished,North,,Freehold,0,1900000
22,Furnished,North - East,,Freehold,0,35000000
23,Unfurnished,East,,Freehold,0,18000000
24,Unfurnished,North,,Freehold,50000,3000000
25,Semi-Furnished,East,1 Open,Freehold,0,8500000
26,Semi-Furnished,South - East,"1 Covered, 1 Open",Freehold,100000,4000000
27,Furnished,North - East,1 Open,Freehold,0,7200000
28,Unfurnished,,,,3000000,30000000
29,Semi-Furnished,North,,,0,14500000
30,Semi-Furnished,East,1 Open,Freehold,0,17000000
31,Unfurnished,North - East,,,0,2500000
32,Semi-Furnished,,,Freehold,0,7200000
33,Unfurnished,East,,Freehold,300000,1390000
34,Unfurnished,West,1 Open,Freehold,0,15900000
35,Furnished,South - East,"1 Covered, 1 Open",Power Of Attorney,0,8500000
36,Unfurnished,,,Freehold,0,3350000
37,Unfurnished,East,"1 Covered, 1 Open",Freehold,50000,3500000
38,Unfurnished,West,,Freehold,200000,4400000
39,Semi-Furnished,North - West,1 Covered,Freehold,500000,5500000
40,Unfurnished,South - East,,,0,2700000
41,Unfurnished,,,,0,2500000
42,Unfurnished,,,,0,3000000
